,DATE,WEEK,COUNTRY,size
223,15/08/2021,34,Venezuela (Bolivarian Republic of),2
198,15/08/2021,34,Lebanon,2
1194,30/08/2021,36,Iceland,2
432,20/08/2021,34,Malta,2
543,22/08/2021,35,Azerbaijan,2
529,21/08/2021,34,Trinidad and Tobago,2
656,23/08/2021,35,Iraq,2
458,20/08/2021,34,Ukraine,2
48,05/08/2021,32,Mexico,2
661,23/08/2021,35,Jordan,2
662,23/08/2021,35,Kenya,2
653,23/08/2021,35,Iceland,2
382,19/08/2021,34,Ukraine,2
218,15/08/2021,34,Ukraine,2
985,27/08/2021,35,Oman,2
968,27/08/2021,35,Japan,2
110,10/08/2021,33,Poland,2
666,23/08/2021,35,Lithuania,2
1205,30/08/2021,36,Latvia,2
958,27/08/2021,35,Greece,2
1198,30/08/2021,36,Israel,2
643,23/08/2021,35,Egypt,2
1211,30/08/2021,36,Morocco,2
47,05/08/2021,32,Lithuania,2
394,20/08/2021,34,Bermuda,2
1196,30/08/2021,36,Indonesia,2
